id tweet length hashtag_% mentions_% stop_words_% uppercase_% sent_count has_url
15923 "whoisq wherestheserver dumpnike declasfisa democrats support antifa muslim brotherhood ms13 isis pedophilia child trafficking taxpayer fund abortion election fraud sedition treason lockthemallup wwg1wga qanon ⁦@user" 1.0208333333333333 0.25925925925925924 0.0 0.0 0.2222222222222222 2 1
27014 "constitutionday revere conservative hate progressive socialist democrats want change" 0.4625 0.07692307692307693 0.0 0.38461538461538464 0.0 1 0
30530 "foxnews nra maga potus trump 2ndamendment rnc usmc veteran @user     @user @user @user @user    fakereporte theswamp dnc liberal @user @user fakeoutrage @user   reduce" 0.85 0.5 0.2857142857142857 0.10714285714285714 0.5714285714285714 1 1
13876 "watch boomer get news parole make smile wentworth finale @user treasure" 0.5791666666666667 0.13043478260869565 0.0 0.5217391304347826 0.043478260869565216 3 1
60133 "nopasaran unity demo oppose far right london antifa oct13" 0.4083333333333333 0.23529411764705882 0.0 0.23529411764705882 0.058823529411764705 2 1
83681 "fuck time" 0.16666666666666666 0.0 0.0 0.45454545454545453 0.0 4 0
96874 "rap form art express freely gv green light excuse behavior act like animal street bx violence way living elevate boo @us level longevity queen 👑" 1.1375 0.037037037037037035 0.018518518518518517 0.5 0.09259259259259259 6 0
65507 "@user feeling kiss @user humiliate later" 0.35833333333333334 0.0 0.11764705882352941 0.5882352941176471 0.11764705882352941 1 0
78910 "5 tip enhance audience connection facebook url @user socialmedia smm" 0.3375 0.15384615384615385 0.07692307692307693 0.15384615384615385 0.23076923076923078 1 1
46363 "biggbosstamil janani win task go final list 👏 👏 👏 👏" 0.3 0.08333333333333333 0.0 0.3333333333333333 0.0 2 0
68123 "conservative party low taxation 😂 tory tory" 0.25833333333333336 0.2727272727272727 0.0 0.18181818181818182 0.09090909090909091 1 1
22452 "𝓒-𝓒𝓮𝓭𝓻𝓪𝓷   nord single fully aware happen chill come spine ghostly calm female voice call corner room   time /attempt/ response +" 1.075 0.0 0.0 0.47058823529411764 0.0196078431372549 7 0
15565 "constoo place feed conservative" 0.19583333333333333 0.125 0.0 0.0 0.75 2 0
64376 "greatawakene qanon patriotsunited wwg1wga areyouawake   awake clearly ❤ ️ 🧡 💛 💚   check video url" 0.55 0.2631578947368421 0.0 0.10526315789473684 0.5263157894736842 1 1
12588 "@user nigga ware da hit" 0.1125 0.0 0.16666666666666666 0.16666666666666666 0.16666666666666666 1 0
34263 "stopkavanaugh liar like rest gop" 0.22916666666666666 0.18181818181818182 0.0 0.45454545454545453 0.18181818181818182 1 1
65773 "dayspromo week september 17th day dool   coma thing gal sami go ok hattie thank   finish   hattie pretend marlena   look kayla face priceless" 1.0666666666666667 0.06 0.0 0.34 0.04 7 1
