id tweet length hashtag_% mentions_% stop_words_% uppercase_% sent_count has_url
15923 "whoisq wherestheserver dumpnike declasfisa democrats support antifa muslim brotherhood ms13 isis pedophilia child trafficking taxpayer fund abortion election fraud sedition treason lockthemallup wwg1wga qanon ⁦@user" 1.0208333333333333 0.25925925925925924 0.0 0.0 0.2222222222222222 2 1
60133 "nopasaran unity demo oppose far right london antifa oct13" 0.4083333333333333 0.23529411764705882 0.0 0.23529411764705882 0.058823529411764705 2 1
83681 "fuck time" 0.16666666666666666 0.0 0.0 0.45454545454545453 0.0 4 0
65507 "@user feeling kiss @user humiliate later" 0.35833333333333334 0.0 0.11764705882352941 0.5882352941176471 0.11764705882352941 1 0
12588 "@user nigga ware da hit" 0.1125 0.0 0.16666666666666666 0.16666666666666666 0.16666666666666666 1 0
34263 "stopkavanaugh liar like rest gop" 0.22916666666666666 0.18181818181818182 0.0 0.45454545454545453 0.18181818181818182 1 1
49139 "@user @user delauro police lineup identify bag lady pick everytime proof conn voter incompetent vote vast voter fraud conspiracy vote woman gross" 1.0458333333333334 0.0 0.041666666666666664 0.4583333333333333 0.041666666666666664 3 0
58995 "family friend tell   bad shit bf gf right" 0.44583333333333336 0.0 0.043478260869565216 0.5652173913043478 0.08695652173913043 2 0
88490 "christineblaseyford kavanaugh accuser liberal try time confirmjudgekavanaugh" 0.4583333333333333 0.3333333333333333 0.0 0.25 0.16666666666666666 1 1
46444 "arianaasesina holy shit fucking asshole blame death sad today fault overdose die end stop want blame fucker" 1.1 0.021739130434782608 0.0 0.41304347826086957 0.0 7 0
60587 "@user hide ugly personality bad" 0.2625 0.0 0.08333333333333333 0.4166666666666667 0.08333333333333333 2 0
70569 bitch 0.08333333333333333 0.0 0.0 0.3333333333333333 0.3333333333333333 1 1
44546 "@user @user @user @user @user @user @user @user @user shocked learn human trafficker gun   probably illegal   need gun control   worry actual crime   pic black gun bad" 0.9666666666666667 0.0 0.225 0.175 0.25 5 0
51628 "conservative @user   clown" 0.18333333333333332 0.14285714285714285 0.14285714285714285 0.14285714285714285 0.2857142857142857 2 1
30899 "voice head transfer money credit card bullshit buy pay" 0.43333333333333335 0.0 0.0 0.42857142857142855 0.09523809523809523 1 0
40110 "kid beat paraplegic trump boy   leave teach child hate violence   school teacher democrats liberal walkaway mom mother nea teachthemyoung christian catholic jews evangelical family blackwomen blacktwitter black news medium disabled maga" 1.1833333333333333 0.8181818181818182 0.0 0.0 0.09090909090909091 3 1
15998 "get bitch" 0.09166666666666666 0.0 0.0 0.5 0.0 1 0
96457 "antifa note protest civility    socialism aka communism win inherently evil unsustainable" 0.6333333333333333 0.04 0.0 0.4 0.04 4 1
70841 "@user omg real happen peru like 40 year ago inti devaluate fucking comoletely change coin system money worthless i-" 0.8458333333333333 0.0 0.02702702702702703 0.4594594594594595 0.02702702702702703 2 0
46139 "conservatism101    disagreement conservative conservative debate honestly integrity get today matter fundamentally dishonest people" 1.0416666666666667 0.05714285714285714 0.0 0.42857142857142855 0.02857142857142857 5 1
80947 "apparently committed go new level key   fuck   curiosity kill cat(hy" 0.48333333333333334 0.0 0.0 0.3333333333333333 0.09523809523809523 3 0
40386 "@user @user @user @user shooting virginia   jacksonville shooter get gun maryland poster child gun control   good   crap" 0.8958333333333334 0.0 0.1111111111111111 0.3333333333333333 0.16666666666666666 5 0
